sample,pH,OM,C,N,C/N,P,S,K,Ca,Mg,Al,H+Al,SB,T,V,m,B,Cu,Fe,Mn,Zn
P72IIB10,4.3,26,1.885,0.141,13.395,3,8,0.8,6,3,2,25,9.8,34.8,28,17,0.17,0.8,65,24.3,1.2
P72IIB100,5,33,2.038,0.128,15.928,4,12,7,13,8,0.01,18,28,46,61,0,0.18,1,96,48,2.1
P72IIC01,4.3,30,1.980,0.133,14.927,3,8,1.2,8,3,3,28,12.2,40.2,30,20,0.18,0.8,57,24.9,1.3
P72IIC10,4.8,44,3.532,0.203,17.387,6,8,1.2,23,5,1,31,29.2,60.2,49,3,0.22,1.5,88,51.2,4
P72IIC100,4.4,33,2.544,0.172,14.834,4,7,1.7,9,4,3,31,14.7,45.7,32,17,0.2,1.3,77,55.8,1.5
P72IIIA01,5.1,44,5.342,0.409,13.061,18,9,3.2,28,7,0.01,31,38.2,69.2,55,0,0.2,5.8,198,222,14
P72IIIA1,5.1,44,5.342,0.409,13.061,18,9,3.2,28,7,0.01,31,38.2,69.2,55,0,0.2,5.8,198,222,14
P72IIIA10,5.3,54,5.245,0.424,12.365,16,9,4.3,39,12,0.01,28,55.3,83.3,66,0,0.22,5.8,142,203,16.4
P72IIIA100,5.1,49,5.186,0.452,11.474,10,9,3.5,27,7,0.01,31,37.5,68.5,55,0,0.22,5.6,70,193.4,9.4
P72IIIB1,5.2,41,2.495,0.219,11.400,8,9,1.7,25,4,0.01,28,30.7,58.7,52,0,0.2,5.1,103,184.6,9.6
P72IIIB100,5.3,50,7.476,0.581,12.873,29,15,4.6,33,14,0.01,28,51.6,79.6,65,0,0.22,5.4,128,171.6,12.3
P72IIIC01,5.2,62,6.446,0.470,13.724,15,9,2.4,30,9,0.01,34,41.4,75.4,55,0,0.2,5.7,131,163.4,15.5
P72IIIC1,5.2,62,6.446,0.470,13.724,15,9,2.4,30,9,0.01,34,41.4,75.4,55,0,0.2,5.7,131,163.4,15.5
P72IIIC10,5.5,43,3.604,0.268,13.430,19,9,1.4,35,9,0.01,20,45.4,65.4,69,0,0.18,4.2,59,165.8,12.2
P72IIIC100,5.3,50,3.043,0.276,11.045,11,13,1.7,23,8,0.01,31,32.7,63.7,51,0,0.21,5,255,174.8,7.9

